id,transaction_date,value_date,reference,debit,credit,balance,remarks,predicted_category,created_at,updated_at
1589,2025-01-09,2025-01-09,Customer payment,,213075.90,3947414.29,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1590,2025-01-11,2025-01-11,Customer payment,,456145.07,4403559.36,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1591,2025-01-12,2025-01-12,Bank fees / transfer,14391.78,,4389167.58,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1592,2025-01-13,2025-01-13,POS PURCHASE - Inventory,185640.96,,4203526.62,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1593,2025-01-13,2025-01-13,Bank fees / transfer,10381.78,,4193144.84,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1594,2025-01-13,2025-01-13,Customer payment,,153453.41,4346598.25,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1595,2025-01-15,2025-01-15,Customer payment,,412603.79,4759202.04,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1596,2025-01-15,2025-01-15,Bank fees / transfer,4243.94,,4754958.10,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1597,2025-01-16,2025-01-16,Bank fees / transfer,17308.15,,4737649.95,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1598,2025-01-17,2025-01-17,Bank fees / transfer,12783.15,,4724866.80,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1599,2025-01-18,2025-01-18,Customer payment,,457499.27,5182366.07,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1600,2025-01-19,2025-01-19,Bank fees / transfer,1278.36,,5181087.71,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1601,2025-01-19,2025-01-19,POS PURCHASE - Inventory,94946.28,,5086141.43,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1602,2025-01-20,2025-01-20,Customer payment,,380625.58,5466767.01,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1603,2025-01-21,2025-01-21,Customer payment,,402892.45,5869659.46,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1604,2025-01-21,2025-01-21,Bank fees / transfer,1353.02,,5868306.44,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1605,2025-01-21,2025-01-21,Customer payment,,481073.85,6349380.29,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1606,2025-01-22,2025-01-22,Bank fees / transfer,5313.58,,6344066.71,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1607,2025-01-24,2025-01-24,Customer payment,,432613.56,6776680.27,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1608,2025-01-24,2025-01-24,Customer payment,,176201.28,6952881.55,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1609,2025-01-24,2025-01-24,POS PURCHASE - Inventory,53580.25,,6899301.30,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1610,2025-01-25,2025-01-25,Misc credit,,38285.27,6937586.57,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1611,2025-01-25,2025-01-25,Bank fees / transfer,2473.63,,6935112.94,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1612,2025-01-26,2025-01-26,Fuel purchase,3296.68,,6931816.26,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1613,2025-01-27,2025-01-27,Bank fees / transfer,18412.54,,6913403.72,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1614,2025-01-27,2025-01-27,POS PURCHASE - Inventory,137455.83,,6775947.89,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1615,2025-01-28,2025-01-28,Salary payment,136683.39,,6639264.50,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1616,2025-01-28,2025-01-28,Customer payment,,88118.99,6727383.49,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1617,2025-01-28,2025-01-28,Customer payment,,233964.52,6961348.01,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1618,2025-01-28,2025-01-28,Customer payment,,419010.21,7380358.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1619,2025-01-29,2025-01-29,Fuel purchase,50072.10,,7330286.12,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1620,2025-01-29,2025-01-29,Customer payment,,105857.42,7436143.54,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1621,2025-01-31,2025-01-31,POS PURCHASE - Inventory,310466.84,,7125676.70,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1622,2025-02-01,2025-02-01,Rent payment,127817.86,,6997858.84,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1623,2025-02-02,2025-02-02,Bank fees / transfer,3080.65,,6994778.19,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1624,2025-02-03,2025-02-03,Internet subscription,7687.22,,6987090.97,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1625,2025-02-03,2025-02-03,POS PURCHASE - Inventory,351089.07,,6636001.90,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1626,2025-02-03,2025-02-03,Fuel purchase,52555.03,,6583446.87,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1627,2025-02-05,2025-02-05,Utility bills,49769.21,,6533677.66,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1628,2025-02-07,2025-02-07,Customer payment,,286802.34,6820480.00,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1629,2025-02-07,2025-02-07,Customer payment,,423922.22,7244402.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1630,2025-02-08,2025-02-08,Bank fees / transfer,19795.06,,7224607.16,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1631,2025-02-09,2025-02-09,Fuel purchase,2243.26,,7222363.90,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1632,2025-02-10,2025-02-10,Misc debit,47850.99,,7174512.91,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1633,2025-02-11,2025-02-11,Misc credit,,22618.12,7197131.03,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1634,2025-02-12,2025-02-12,Fuel purchase,47346.98,,7149784.05,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1635,2025-02-13,2025-02-13,Misc debit,27418.09,,7122365.96,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1636,2025-02-13,2025-02-13,Repair / Maintenance,41208.53,,7081157.43,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1637,2025-02-13,2025-02-13,Misc credit,,33678.50,7114835.93,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1638,2025-02-14,2025-02-14,Repair / Maintenance,51615.45,,7063220.48,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1639,2025-02-15,2025-02-15,Capital injection,,1394256.31,8457476.79,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1640,2025-02-16,2025-02-16,POS PURCHASE - Inventory,405778.27,,8051698.52,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1641,2025-02-16,2025-02-16,Customer payment,,204536.59,8256235.11,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1642,2025-02-18,2025-02-18,Bank fees / transfer,243.23,,8255991.88,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1643,2025-02-18,2025-02-18,Bank fees / transfer,2584.02,,8253407.86,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1644,2025-02-18,2025-02-18,Repair / Maintenance,16777.92,,8236629.94,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1645,2025-02-19,2025-02-19,Fuel purchase,43718.13,,8192911.81,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1646,2025-02-19,2025-02-19,POS PURCHASE - Inventory,103591.98,,8089319.83,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1647,2025-02-22,2025-02-22,Customer payment,,169345.46,8258665.29,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1648,2025-02-23,2025-02-23,Bank fees / transfer,5109.74,,8253555.55,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1649,2025-02-24,2025-02-24,Refund/Chargeback,,41834.76,8295390.31,Customer refund,Refund/Chargeback,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1650,2025-02-25,2025-02-25,Bank fees / transfer,12292.88,,8283097.43,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1651,2025-02-26,2025-02-26,Misc debit,30478.20,,8252619.23,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1652,2025-02-27,2025-02-27,Repair / Maintenance,32921.70,,8219697.53,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1653,2025-02-28,2025-02-28,Salary payment,76651.47,,8143046.06,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1654,2025-03-01,2025-03-01,Rent payment,122044.99,,8021001.07,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1655,2025-03-01,2025-03-01,Customer payment,,42389.68,8063390.75,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1656,2025-03-03,2025-03-03,Internet subscription,16974.25,,8046416.50,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1657,2025-03-03,2025-03-03,Bank fees / transfer,938.28,,8045478.22,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1658,2025-03-04,2025-03-04,POS PURCHASE - Inventory,340771.54,,7704706.68,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1659,2025-03-04,2025-03-04,POS PURCHASE - Inventory,95959.76,,7608746.92,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1660,2025-03-05,2025-03-05,Utility bills,33402.69,,7575344.23,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1661,2025-03-05,2025-03-05,Customer payment,,123063.34,7698407.57,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1662,2025-03-05,2025-03-05,Refund/Chargeback,,6990.12,7705397.69,Customer refund,Refund/Chargeback,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1663,2025-03-08,2025-03-08,POS PURCHASE - Inventory,242209.89,,7463187.80,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1664,2025-03-09,2025-03-09,POS PURCHASE - Inventory,132921.91,,7330265.89,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1665,2025-03-09,2025-03-09,Refund/Chargeback,,7806.27,7338072.16,Customer refund,Refund/Chargeback,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1666,2025-03-10,2025-03-10,Customer payment,,86042.25,7424114.41,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1667,2025-03-10,2025-03-10,POS PURCHASE - Inventory,378395.06,,7045719.35,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1668,2025-03-11,2025-03-11,Repair / Maintenance,28208.24,,7017511.11,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1669,2025-03-12,2025-03-12,Capital injection,,1716362.50,8733873.61,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1670,2025-03-13,2025-03-13,Customer payment,,394477.58,9128351.19,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1671,2025-03-13,2025-03-13,POS PURCHASE - Inventory,128282.18,,9000069.01,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1672,2025-03-13,2025-03-13,Capital injection,,1463784.97,10463853.98,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1673,2025-03-14,2025-03-14,Bank fees / transfer,778.30,,10463075.68,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1674,2025-03-14,2025-03-14,Bank fees / transfer,4053.42,,10459022.26,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1675,2025-03-14,2025-03-14,POS PURCHASE - Inventory,227539.10,,10231483.16,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1676,2025-03-14,2025-03-14,Customer payment,,51233.06,10282716.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1677,2025-03-15,2025-03-15,Customer payment,,239325.84,10522042.06,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1678,2025-03-17,2025-03-17,Customer payment,,242085.16,10764127.22,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1679,2025-03-18,2025-03-18,Customer payment,,509562.36,11273689.58,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1680,2025-03-18,2025-03-18,Capital injection,,1229311.12,12503000.70,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1681,2025-03-20,2025-03-20,Fuel purchase,47401.31,,12455599.39,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1682,2025-03-20,2025-03-20,Customer payment,,155151.59,12610750.98,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1683,2025-03-20,2025-03-20,Repair / Maintenance,117717.78,,12493033.20,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1684,2025-03-21,2025-03-21,POS PURCHASE - Inventory,387006.96,,12106026.24,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1685,2025-03-22,2025-03-22,Bank fees / transfer,10883.36,,12095142.88,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1686,2025-03-24,2025-03-24,Misc credit,,667.95,12095810.83,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1687,2025-03-24,2025-03-24,Bank fees / transfer,3854.50,,12091956.33,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1688,2025-03-25,2025-03-25,POS PURCHASE - Inventory,252704.69,,11839251.64,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1689,2025-03-26,2025-03-26,Bank fees / transfer,4954.23,,11834297.41,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1690,2025-03-26,2025-03-26,POS PURCHASE - Inventory,146258.01,,11688039.40,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1691,2025-03-27,2025-03-27,Customer payment,,67127.94,11755167.34,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1692,2025-03-28,2025-03-28,Salary payment,78427.83,,11676739.51,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1693,2025-03-28,2025-03-28,Customer payment,,303338.92,11980078.43,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1694,2025-03-28,2025-03-28,Bank fees / transfer,6511.42,,11973567.01,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1695,2025-03-29,2025-03-29,Customer payment,,136880.72,12110447.73,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1696,2025-03-30,2025-03-30,Capital injection,,994602.88,13105050.61,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1697,2025-03-31,2025-03-31,Repair / Maintenance,15629.85,,13089420.76,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1698,2025-04-01,2025-04-01,Rent payment,117828.13,,12971592.63,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1699,2025-04-01,2025-04-01,Refund/Chargeback,,31124.13,13002716.76,Customer refund,Refund/Chargeback,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1700,2025-04-03,2025-04-03,Internet subscription,7833.14,,12994883.62,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1701,2025-04-04,2025-04-04,POS PURCHASE - Inventory,138413.50,,12856470.12,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1702,2025-04-05,2025-04-05,Utility bills,21213.36,,12835256.76,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1703,2025-04-05,2025-04-05,Customer payment,,298684.54,13133941.30,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1704,2025-04-06,2025-04-06,Customer payment,,383843.05,13517784.35,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1705,2025-04-08,2025-04-08,POS PURCHASE - Inventory,299958.19,,13217826.16,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1706,2025-04-09,2025-04-09,Customer payment,,497381.93,13715208.09,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1707,2025-04-09,2025-04-09,Customer payment,,80296.84,13795504.93,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1708,2025-04-09,2025-04-09,POS PURCHASE - Inventory,277614.06,,13517890.87,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1709,2025-04-09,2025-04-09,Customer payment,,139222.05,13657112.92,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1710,2025-04-10,2025-04-10,Bank fees / transfer,17014.08,,13640098.84,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1711,2025-04-12,2025-04-12,Customer payment,,502304.49,14142403.33,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1712,2025-04-12,2025-04-12,Customer payment,,290876.78,14433280.11,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1713,2025-04-13,2025-04-13,Bank fees / transfer,1267.94,,14432012.17,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1714,2025-04-13,2025-04-13,Repair / Maintenance,97117.17,,14334895.00,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1715,2025-04-14,2025-04-14,Bank fees / transfer,17514.61,,14317380.39,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1716,2025-04-14,2025-04-14,Customer payment,,131535.48,14448915.87,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1717,2025-04-14,2025-04-14,Bank fees / transfer,16399.87,,14432516.00,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1718,2025-04-16,2025-04-16,Customer payment,,290640.59,14723156.59,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1719,2025-04-16,2025-04-16,POS PURCHASE - Inventory,293700.71,,14429455.88,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1720,2025-04-16,2025-04-16,POS PURCHASE - Inventory,353930.15,,14075525.73,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1721,2025-04-16,2025-04-16,Customer payment,,294994.05,14370519.78,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1722,2025-04-17,2025-04-17,POS PURCHASE - Inventory,367367.67,,14003152.11,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1723,2025-04-19,2025-04-19,Customer payment,,313429.27,14316581.38,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1724,2025-04-22,2025-04-22,Customer payment,,476505.90,14793087.28,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1725,2025-04-24,2025-04-24,Customer payment,,463344.50,15256431.78,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1726,2025-04-26,2025-04-26,Customer payment,,358539.13,15614970.91,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1727,2025-04-26,2025-04-26,Bank fees / transfer,7802.48,,15607168.43,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1728,2025-04-27,2025-04-27,Customer payment,,515648.90,16122817.33,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1729,2025-04-27,2025-04-27,Repair / Maintenance,111687.70,,16011129.63,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1730,2025-04-28,2025-04-28,Salary payment,128930.71,,15882198.92,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1731,2025-04-28,2025-04-28,POS PURCHASE - Inventory,92522.03,,15789676.89,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1732,2025-04-30,2025-04-30,Customer payment,,170552.19,15960229.08,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1733,2025-05-01,2025-05-01,Rent payment,241851.36,,15718377.72,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1734,2025-05-01,2025-05-01,Customer payment,,26692.97,15745070.69,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1735,2025-05-02,2025-05-02,Repair / Maintenance,34820.95,,15710249.74,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1736,2025-05-02,2025-05-02,Customer payment,,299791.52,16010041.26,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1737,2025-05-03,2025-05-03,Internet subscription,12892.45,,15997148.81,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1738,2025-05-03,2025-05-03,Customer payment,,63831.97,16060980.78,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1739,2025-05-03,2025-05-03,Customer payment,,312932.30,16373913.08,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1740,2025-05-04,2025-05-04,Customer payment,,59773.48,16433686.56,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1741,2025-05-04,2025-05-04,Customer payment,,56752.28,16490438.84,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1742,2025-05-05,2025-05-05,Utility bills,18642.63,,16471796.21,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1743,2025-05-05,2025-05-05,Customer payment,,298253.92,16770050.13,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
1744,2025-05-05,2025-05-05,Misc credit,,17930.31,16787980.44,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
